Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999
68,David Rittich,31,LAK,24,22,13,6,3,49,621,572,.921,2.15,3,4.7,1365,14,.636,1,82,11.03,0,0,0,0,rittida01
69,Georgi Romanov,24,SJS,2,0,0,0,0,1,30,29,.967,1.01,0,0.4,59,0,,0,34,1.90,0,0,0,0,romange01
70,Ilya Samsonov,26,TOR,40,40,23,7,8,120,1087,967,.890,3.13,3,4.7,2301,19,.475,9,114,-14.93,0,1,1,0,samsoil01
71,Felix Sandström,27,PHI,5,3,1,2,0,17,96,79,.823,3.87,0,-0.2,263,1,.333,2,183,-7.72,0,0,0,0,sandsfe01
72,Juuse Saros,28,NSH,64,64,35,24,5,173,1845,1672,.906,2.86,3,11.1,3625,35,.547,11,97,5.34,0,2,2,2,sarosju01
73,Akira Schmid,23,NJD,19,15,5,9,1,48,457,409,.895,3.15,0,2.2,914,5,.333,4,109,-3.83,0,2,2,2,schmiak01
74,Hunter Shepard,28,WSH,4,4,2,1,1,13,123,110,.894,3.19,0,0.6,245,2,.500,2,109,-1.11,0,0,0,0,shepahu01
75,Igor Shesterkin,28,NYR,55,55,36,17,2,141,1606,1465,.912,2.58,4,10.7,3277,32,.582,10,91,14.24,0,1,1,6,shestig01
76,Arturs Silovs,22,VAN,4,4,3,0,1,10,84,74,.881,2.47,0,0.3,243,2,.500,1,123,-1.88,0,0,0,0,silovar01
77,Stuart Skinner,25,EDM,59,57,36,16,5,147,1553,1406,.905,2.62,2,9.2,3361,35,.614,11,98,3.11,0,0,0,0,skinnst01
78,Arvid Söderblom,24,CHI,32,29,5,22,2,114,942,828,.879,3.92,0,3.1,1744,10,.345,6,125,-22.95,0,0,0,0,soderar01
79,Ilya Sorokin,28,NYI,56,55,25,19,12,167,1822,1655,.908,3.01,2,11.4,3326,34,.618,7,95,9.12,0,2,2,0,sorokil01
80,Anthony Stolarz,30,FLA,27,24,16,7,2,51,684,633,.925,2.03,2,5.5,1506,17,.708,2,77,15.12,0,2,2,2,stolaan01
81,Malcolm Subban,30,CBJ,1,1,0,1,0,3,35,32,.914,3.00,0,0.2,60,1,1.000,0,89,0.38,0,0,0,0,subbama01
82,Jeremy Swayman,25,BOS,44,43,25,10,8,108,1287,1179,.916,2.53,3,9.1,2566,27,.628,5,87,16.40,0,1,1,0,swaymje01
83,Mads Søgaard,23,OTT,6,5,1,3,0,19,135,116,.859,4.05,0,0.2,282,1,.200,2,146,-5.95,0,0,0,0,sogaama01
84,Cam Talbot,36,LAK,54,52,27,20,6,130,1490,1360,.913,2.50,3,10.0,3116,32,.615,7,90,14.02,0,3,3,4,talboca01
85,Daniil Tarasov,24,CBJ,24,23,8,11,3,73,796,723,.908,3.18,0,5.0,1376,13,.565,5,95,3.94,0,0,0,0,tarasda02
86,Logan Thompson,26,VEG,46,42,25,14,5,119,1298,1179,.908,2.70,1,8.1,2645,25,.595,6,95,6.47,0,3,3,0,thomplo01
87,Matt Tomkins,29,TBL,6,6,3,2,1,20,185,165,.892,3.33,0,0.8,360,1,.167,0,112,-2.12,0,0,0,0,tomkima01
88,Linus Ullmark,30,BOS,40,39,22,10,7,103,1207,1104,.915,2.57,2,8.3,2400,26,.667,3,88,13.67,0,1,1,2,ullmali01
89,Vítek Vaněček,28,NJD,32,29,17,9,3,95,862,767,.890,3.18,0,3.8,1792,12,.414,8,114,-11.68,0,1,1,0,vanecvi01
90,Semyon Varlamov,35,NYI,28,27,14,8,4,69,837,768,.918,2.60,3,6.0,1595,18,.667,1,85,11.91,0,0,0,0,varlasi01
91,Andrei Vasilevskiy,29,TBL,52,52,30,20,2,148,1477,1329,.900,2.90,2,7.9,3063,27,.519,9,104,-5.23,0,2,2,2,vasilan02
92,Karel Vejmelka,27,ARI,38,33,13,19,2,114,1089,975,.895,3.35,1,5.4,2040,14,.424,10,108,-8.74,0,2,2,2,vejmeka01
93,Matt Villalta,24,ARI,2,1,0,1,0,5,29,24,.828,4.17,0,-0.1,72,0,.000,1,178,-2.20,0,0,0,0,villama01
94,Daniel Vladař,26,CGY,20,19,8,9,2,68,574,506,.882,3.62,0,2.0,1129,8,.421,6,123,-12.52,0,0,0,0,vladada01
95,Jesper Wallstedt,21,MIN,3,3,2,1,0,9,87,78,.897,3.01,1,0.4,179,2,.667,1,107,-0.59,0,0,0,0,wallsje01
96,Scott Wedgewood,31,DAL,32,28,16,7,5,85,844,759,.899,2.85,0,4.5,1789,13,.464,4,104,-3.42,0,0,0,0,wedgesc01
97,Dustin Wolf,22,CGY,17,15,7,7,1,50,467,417,.893,3.16,0,2.2,951,7,.467,2,111,-4.86,0,0,0,0,wolfdu01
98,Joseph Woll,25,TOR,25,23,12,11,1,72,772,700,.907,2.94,0,4.7,1472,11,.478,4,96,2.62,0,0,0,0,wolljo01
